,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
16,15.83564807,15.06939711,14.31543116,13.42218436,12.67642486,11.79978203,11.06679337,10.22815242,9.418541029,8.576133125,7.833596042,6.976927936,6.071250522,5.168040114,4.3280695,3.575781176,2.84288583,2.211422069,1.687641781,1.214895337,0.837074451,0.531570838,0.312047016,0.143375203,0.037936513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,16.83564805,16.06927475,15.31447788,14.42043624,13.66940743,12.77966798,12.03067164,11.16896677,10.46609458,9.521955646,8.78639631,7.953870964,7.158383103,6.218413546,5.330821225,4.520201822,3.709711011,3.01102236,2.38772655,1.816054798,1.332861621,0.950423142,0.630980888,0.391642472,0.19756846,0.070588369,0.001968165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,17.83564805,17.06922393,16.31380676,15.41951746,14.66400474,13.7673407,12.99918085,12.12282177,11.40133855,10.59396935,9.724183384,8.906004425,8.140605082,7.302714434,6.376419641,5.520240566,4.654895221,3.887315417,3.181812339,2.516326455,1.958355447,1.474185446,1.06797031,0.71938054,0.459291612,0.254019701,0.116030906,0.01829441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,18.83564805,18.06918807,17.31349278,16.4188441,15.66104178,14.75765154,13.99064203,13.10590708,12.35140031,11.51102391,10.68822371,9.842653412,9.08686188,8.293569378,7.455073229,6.564483353,5.652460374,4.836766135,4.053425287,3.322699194,2.677584498,2.116558411,1.592968382,1.171176291,0.816699839,0.544578063,0.32274612,0.166525395,0.047839863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,19.83564804,19.06917319,18.313272,17.41850464,16.65883847,15.7521151,14.9867685,14.09825434,13.33629932,12.46941552,11.72368389,10.82186104,10.02004467,9.241116034,8.446304231,7.644013568,6.690929496,5.835702818,4.996984267,4.201466957,3.497331797,2.832677987,2.237730429,1.721709234,1.296379909,0.929798225,0.629904127,0.385921768,0.212573826,0.080791163,0.009053383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,20.83564804,20.06916269,19.31317007,18.4182601,17.65767352,16.74791627,15.98400245,15.09040472,14.32189638,13.44949139,12.68196455,11.85454357,11.00383635,10.18896551,9.388592109,8.643686618,7.763815634,6.872718397,5.992391712,5.14731911,4.38531299,3.645911934,2.970305397,2.387556769,1.871671753,1.411705134,1.018886448,0.710444141,0.456034706,0.269928989,0.125069142,0.033219813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,21.83564804,21.06915834,20.31309841,19.41813961,18.65682075,17.74560473,16.98165752,16.0850322,15.30805021,14.43074797,13.65271401,12.81774384,12.04347856,11.17259783,10.34186358,9.588044363,8.768910299,7.942891998,7.027099539,6.142361436,5.336266449,4.528522803,3.794474587,3.136856235,2.537716234,1.984600041,1.523670763,1.12641258,0.807536046,0.537881515,0.331405768,0.167858999,0.05934118,0.000763368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,22.83564804,22.06915527,21.31306566,20.41805346,19.65638015,18.74388238,17.98024685,17.08053372,16.29865543,15.41259025,14.62644229,13.7856488,13.00193062,12.21206359,11.31913155,10.55470899,9.699472044,8.95409176,8.097107821,7.173934441,6.33383928,5.473362659,4.684043606,3.973225023,3.282398645,2.66426863,2.118923582,1.656169999,1.241868307,0.894750629,0.605952942,0.387699951,0.213641464,0.095600475,0.012591776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,23.83564804,23.06915399,22.31304264,21.41801166,20.65606032,19.74295704,18.97914364,18.07778964,17.2907989,16.40002089,15.60120862,14.75588078,13.96065855,13.17432383,12.37148173,11.52785846,10.66876682,9.87357675,9.118316043,8.239768008,7.365506301,6.467096985,5.631911922,4.871513304,4.111672676,3.423215621,2.817069729,2.267821877,1.76788097,1.336885349,0.985970422,0.688015747,0.457688757,0.269265431,0.136689821,0.036450338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,24.83564804,24.06915309,23.3130322,22.41798188,21.65589784,20.74227461,19.97851863,19.07562726,18.28592979,17.38936787,16.58357903,15.7267356,14.92297684,14.13304069,13.32571533,12.48657806,11.64197683,10.8458557,10.03493518,9.26247791,8.430087252,7.496028713,6.62634133,5.824702742,5.004478798,4.262257483,3.590755936,2.959821017,2.380931019,1.886439148,1.452811325,1.093438685,0.781736109,0.527547412,0.321546291,0.174236662,0.061480922,0.004913257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,25.83564804,25.06915272,24.31302487,23.4179676,22.65578051,21.7419146,20.97804496,20.07437279,19.28205779,18.38261785,17.56852632,16.70592664,15.88609648,15.09358461,14.27561612,13.54054261,12.60148119,11.81438684,11.01732143,10.17242305,9.455374328,8.559886152,7.653556957,6.822146202,5.951941284,5.161501209,4.440720979,3.728461861,3.089626146,2.519387215,2.02497344,1.572456799,1.184597273,0.854280022,0.593516442,0.377642846,0.219650423,0.096835642,0.020798985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,26.83564804,26.06915246,25.31302156,24.41795745,23.6557217,22.74165089,21.97778495,21.07341089,20.27976252,19.37717778,18.55882908,17.68790268,16.85949746,16.05405596,15.22815497,14.48316934,13.65869401,12.76878043,11.9887062,11.15344201,10.36314317,9.590439095,8.714604498,7.850235073,6.945951968,6.11209019,5.347888528,4.571616567,3.870860542,3.24450536,2.671074268,2.138415805,1.672370761,1.282396673,0.944717454,0.673418884,0.444226068,0.271853973,0.13448417,0.043193242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,27.83564804,27.06915235,26.31301924,25.41795263,24.65567938,23.74151383,22.97759093,22.07286893,21.27798226,20.3738808,19.55093196,18.67606323,17.83627869,17.02492913,16.18054593,15.42866429,14.60322696,13.83859374,12.94586979,12.12029545,11.34015785,10.50211216,9.744259391,8.910822494,7.971771826,7.10715779,6.300146513,5.473762749,4.722783424,4.038866751,3.389201789,2.785222498,2.259441315,1.792779308,1.396634268,1.042845682,0.748605916,0.503010294,0.317119306,0.169075348,0.068776599,0.005397464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
